Checklist Template Name,DisplaySeqNumber,SectionName,Question Label,Answer Type,For Select there would be 'AnswerOption',Example,Tag,Help Text
Site Survey,10,Ground,Cancelled at the Door Y/N,EnumeratedSingle,Yes / No,,Residential,Indicate if the homeowner communicated with you that they do not wish to proceed with the project
Site Survey,20,Ground,Home Type,EnumeratedSingle,Home Style,,Residential,"Define the home type (e.g. single-story, two-story, etc.). This helps determine accessibility and the installation approach."
Site Survey,30,Roof,Was Layout Provided for Survey,EnumeratedSingle,Yes / No,,Residential,Contact your supervisor if there is no layout provided
Site Survey,40,Roof,Panels Proposed on Additional Structure,EnumeratedSingle,Yes / No,,Residential,"Indicate if any solar panels are planned for installation on structures other than the main roof (e.g. garage, carport, pergola, ground mount)."
Site Survey,50,Roof,Roof Material,EnumeratedSingle,Roof Material,,Residential,"Record the type of roofing material present (e.g. composition shingle tile, metal, TPO, etc). This determines the appropriate mounting hardware and installation method."
Site Survey,60,Ground,Is the main panel or subpanel inside the home?,EnumeratedSingle,Yes / No / NA,,Residential,Confirm the location of the main service panel or subpanel. If inside the home additional coordination with the homeowner may be needed for access during installation.
Site Survey,70,Ground,Main Service Panel Manufacturer,EnumeratedSingle,Panel Manufacturer,,Residential,"Identify the brand of the main electrical service panel (e.g. Square D, Siemens, GE, Eaton). This is important for selecting compatible breakers and equipment."
Site Survey,80,Ground,Main Breaker Rating,EnumeratedSingle,Main Breaker Rating,,Residential,"Record the amperage rating of the main breaker (e.g. 100A, 200A, 400A). This determines the available capacity for the solar system interconnection."
Site Survey,90,Ground,Bus Rating,EnumeratedSingle,Bus Rating,,Residential,"Document the bus bar rating of the main service panel (typically 100A, 125A, 200A, 225A, or 400A)."
Site Survey,100,Ground,Cold Water Bond Visible,EnumeratedSingle,Yes / No,,Residential,Verify if the grounding electrode conductor bond to the cold water pipe is visible and accessible. This is required by NEC for proper system grounding.
Site Survey,110,Roof,Steepest Roof Pitch,EnumeratedSingle,Roof Pitch (Degrees),,Residential,Measure and record the pitch of the steepest roof section where panels will be installed. This affects safety requirements and installation difficulty.
Site Survey,120,Roof,Attic Run Required,EnumeratedSingle,Yes / No / Unknown,,Residential,Determine if conduit or wiring needs to be run through the attic space. If unknown note for further investigation during installation.
Site Survey,130,Ground,Battery Capacity,EnumeratedSingle,Battery Capacity Types,,Residential,Record the capacity any battery storage system proposed (e.g. Tesla Powerwall 13.5 kWh or Enphase IQ 10). Input 'N/A' if no battery is included.
Site Survey,140,Ground,Scanifly Imaging Needed?,EnumeratedSingle,Yes / No / Unknown,,Residential,Indicate if aerial imaging via Scanifly or similar technology is needed for roof measurements and shading analysis.
Site Survey,150,Ground,Photos Uploaded,EnumeratedSingle,Yes / No,,Residential,"Confirm that all required site survey photos have been uploaded to the project management system (roof, electrical panel, proposed equipment locations etc.)."
Site Survey,160,Ground,Site Survey Date,Date,,,Residential,Enter the date the site survey was conducted.
Installation,170,Ground,Time Spent on Site,Numeric,,,Residential,"Record total hours the installation team was on site for this visit, from the moment the crew arrived until they departed for the day."
Installation,180,Ground,Permit on Site,EnumeratedSingle,Yes / No,,Residential,Confirm that the approved building permit is physically present at the job site and posted as required by local code.
Installation,190,Ground,Do Plans Match Install,EnumeratedSingle,Yes / No,,Residential,Verify that the actual installation matches the approved permit plans. If 'No' you must explain the discrepancy in the next field.
Installation,200,Ground,Define Reason for Discrepancy,Text,,,Residential,"If the installation does not match the approved plans provide a detailed explanation of what differs and why (e.g. roof obstruction found, change order approved etc.)."
Installation,210,Ground,Hours of Work Remaining,Numeric,,,Residential,Estimate the number of additional hours needed to complete the installation. This helps with scheduling and resource allocation.
Installation,220,Roof,Conduit on Roof Painted,EnumeratedSingle,Yes / No,,Residential,Confirm that all exposed conduit on the roof has been painted to match the roof color or as specified in the installation standards.
Installation,230,Electrical Ground,Electrical Conduit Painted (Downstairs),EnumeratedSingle,Yes / No,,Residential,Verify that all exterior electrical conduit on ground level or lower floors has been painted according to specifications and local aesthetic requirements.
Installation,240,Ground,Set Screws On Ground Mount,EnumeratedSingle,Yes / No,,Residential,Confirm that all set screws on ground mount racking systems are properly tightened to manufacturer specifications. Select 'No' if this is a roof mount system.
Installation,250,Ground,Walked HO Through The System,EnumeratedSingle,Yes / No,,Residential,"Confirm that the homeowner has been given a complete walkthrough of the system including operation, monitoring shutdown procedures, and maintenance requirements."
Installation,260,Ground,All Trash/Material Cleaned Up,EnumeratedSingle,Yes / No,,Residential,"Verify that all installation debris, packaging materials, and excess materials have been removed from the property and the site has been left clean."
Installation,270,Electrical Roof,DC Wire Run/Panel Ready,EnumeratedSingle,Yes / No,,Residential,Confirm that all DC wiring from the solar array has been properly run and terminated.
Installation,280,Electrical Roof,DC Wire Run/Panel Ready Info,EnumeratedSingle,DC Wire Run/Panel Ready Info,,Residential,Provide additional details about the DC wire run status. If incomplete specify what work remains.
Installation,290,Roof,All Modules Landed,EnumeratedSingle,Yes / No,,Residential,Confirm that all solar modules have been physically installed on the mounting planes.
Installation,300,Roof,Any Tile Replacement Needed,EnumeratedSingle,Yes / No,,Residential,Indicate if any roof tiles were damaged during installation and need replacement. Document approximate number and location if 'Yes'.
Installation,310,Roof,All Modules Landed Info,EnumeratedSingle,All Modules Landed Info list,,Residential,Provide details about module installation status. If incomplete specify how many modules remain and any issues encountered.
Installation,320,Electrical Ground,Ground Rods Installed,EnumeratedSingle,Yes / No / NA,,Residential,Confirm that grounding electrode system (ground rods) has been installed per NEC requirements. Select 'NA' if existing grounding is adequate.
Installation,330,Electrical Ground,Ground Rods Installed Info,EnumeratedSingle,Ground Rods Installed list,,Residential,"Provide details about grounding electrode installation including number of rods, location, depth, and bonding method."
Installation,340,Electrical Ground,Electrical Equipment Hung and Piped,EnumeratedSingle,Yes / No,,Residential,"Verify that all electrical equipment (inverter, disconnect, load center, battery etc.) has been mounted and all conduit has been installed."
Installation,350,Electrical Ground,Electrical Equipment Hung and Piped Info,EnumeratedSingle,Electrical Equipment Hung L,,Residential,Provide details about electrical equipment installation status. If incomplete specify which equipment remains or what work is needed.
Installation,360,Electrical Ground,AC Wire Run Complete,EnumeratedSingle,Yes / No,,Residential,Confirm that all AC wiring from the inverter to the point of interconnection (main panel or load center) has been completed and terminated.
Installation,370,Electrical Ground,AC Wire Run Complete Info,EnumeratedSingle,AC Wire Run Complete List,,Residential,"Provide details about AC wire run. If incomplete specify what remains (e.g. wire pulling, terminations, interconnection)."
Installation,380,Electrical Ground,Inverter Serial Number 1,Text,,,Residential,Record the serial number of all inverters. This is critical for warranty registration and system monitoring setup.
Installation,390,Electrical Roof,DC Wire Run to Roof J-Box,EnumeratedSingle,Yes / No,,Residential,Confirm that DC wiring from modules has been run to the roof junction box or combiner and properly terminated.
Installation,400,Electrical Roof,DC Wire Run to Roof J-Box Info,EnumeratedSingle,DC Wire Run to Roof J-Box List,,Residential,Provide details about DC wiring to junction box. Specify number of strings wire sizing and any issues if incomplete.
Installation,410,Electrical Ground,All Labels Placed,EnumeratedSingle,Yes / No,,Residential,"Verify that all required NEC labels have been placed including: solar system warning labels, rapid shutdown labels, DC/AC disconnect labels, and directory labels."
Installation,420,Electrical Ground,All Labels Placed Info,EnumeratedSingle,All Labels Placed List,,Residential,Provide details about labeling. If incomplete specify which labels are missing or need correction.
Installation,430,Electrical Ground,All Strings Working (Optimizers Reported In),EnumeratedSingle,Yes / No,,Residential,Confirm that all module-level power electronics (optimizers or microinverters) are communicating and all strings are producing expected voltage.
Installation,440,Electrical Ground,All Strings Working Opt Rep Info,EnumeratedSingle,All Strings Working List,,Residential,Provide details about string/optimizer status. If issues exist document which optimizers are not reporting and troubleshooting steps taken.
Installation,450,Electrical Ground,Was Monitoring Set Up And Tested On The Inverter(s),EnumeratedSingle,Yes / No,,Residential,Confirm that system monitoring has been configured and tested including data connection and that production data is being transmitted to the monitoring platform.
Installation,460,Electrical Ground,Monitoring Set Up & Tested Invert Info,EnumeratedSingle,Monitoring Set Up Tested List,,Residential,Provide details about monitoring setup. Include monitoring platform connection method (WiFi/Ethernet/cellular) and verification that data is appearing correctly.
Installation,470,Ground,Team Members on Site Info,Text,,,Residential,List all installation team members present on site for this installation. Include names and roles.
Installation,480,Electrical Ground,Was A Line Side Tap Completed,EnumeratedSingle,Yes / No,,Residential,Indicate if a supply-side (line-side) tap was performed to connect the solar system before the main breaker.
Installation,490,Electrical Ground,Was A Derate Completed,EnumeratedSingle,Yes / No,,Residential,Indicate if the main breaker was derated (reduced in amperage rating) to accommodate the solar system backfeed per the 120% rule.
Installation,500,Electrical Ground,Was A Hawaiian Tie In Complete,EnumeratedSingle,Yes / No,,Residential,Indicate if a Hawaiian-style interconnection was completed.
Installation,510,Electrical Ground,Was a Meter Collar Adaptor completed?,EnumeratedSingle,Yes / No,,Residential,Indicate if a meter collar adapter was installed.
Installation,520,Ground,Installation Date,Date,,,Residential,Enter the date when the installation or this phase of work occurred.